,week,weekday,hour,minute,CellID,smsin,smsout,callin,callout,internet,idx,relativeHumidity,precipitation,temperature,windSpeed
12997,46,5,0,0,5570,4.557094953853916,3.391682839733792,3.1676062863244545,3.4856555908682663,264.6678639307857,47088.0,88.0,0.0,9.9,1.0
13003,46,5,0,10,5570,10.274988576032973,2.87377206117382,0.5281830022086217,0.3823812720095896,229.8865222918896,47089.0,88.0,0.0,9.916666666666668,0.95
13009,46,5,0,20,5570,11.480552258123158,4.9414394065522735,2.8907575648750665,0.12475854053209125,260.5431877855222,47090.0,88.0,0.0,9.933333333333334,0.9
13015,46,5,0,30,5570,3.4840110194623466,4.7170012946181705,0.1667280256217312,0.7844246033721766,241.32610938318317,47091.0,88.0,0.0,9.95,0.85
13021,46,5,0,40,5570,4.341397262163655,2.348782962607609,1.0549608829319472,0.10855615115653447,253.3451926562396,47092.0,88.0,0.0,9.966666666666667,0.7999999999999999
13027,46,5,0,50,5570,2.2435695871842736,2.7190675135500406,0.2696837372832626,0.0,269.19575703588987,47093.0,88.0,0.0,9.983333333333334,0.75
13033,46,5,1,0,5570,3.858381215644288,2.304291595998308,1.329615792450482,2.571101022662094,236.595425654776,47094.0,88.0,0.0,10.0,0.7
13039,46,5,1,10,5570,2.387450986001906,1.4423133271768092,0.4154854674822947,2.335316835316549,312.9160200813935,47095.0,88.66666666666667,0.0,9.966666666666667,0.7333333333333333
13045,46,5,1,20,5570,2.8957514907213677,2.3014172853788315,0.14357210095370315,0.7844246033721766,550.8663522912519,47096.0,89.33333333333333,0.0,9.933333333333334,0.7666666666666666
13051,46,5,1,30,5570,3.466846073791777,1.9625001734398173,0.0,1.1668058753817665,251.14152008329899,47097.0,90.0,0.0,9.9,0.8
13057,46,5,1,40,5570,0.3005583035106388,2.829600287587453,1.1676584176582745,0.05403049089540424,351.619009548074,47098.0,90.66666666666667,0.0,9.866666666666667,0.8333333333333334
13063,46,5,1,50,5570,0.4154854674822947,2.4099734365353656,0.0,0.4154854674822947,320.95350261206954,47099.0,91.33333333333333,0.0,9.833333333333334,0.8666666666666667
13069,46,5,2,0,5570,1.8888061285160136,2.492912804893768,0.0,0.3859473227595659,235.7950357788393,47100.0,92.0,0.0,9.8,0.9
13075,46,5,2,10,5570,2.357648252224544,1.7159723608245832,0.11269753472632695,0.11269753472632695,422.91621951636137,47101.0,92.66666666666667,0.0,9.783333333333333,0.9
13081,46,5,2,20,5570,6.343112718092081,6.786391699058463,0.2817447430890269,1.0858354491593234,495.0642529598957,47102.0,93.33333333333333,0.0,9.766666666666667,0.9
13087,46,5,2,30,5570,1.9829856217743018,4.3475947704039015,0.4154854674822947,2.111326887349191,244.89276716128597,47103.0,94.0,0.0,9.75,0.9
13093,46,5,2,40,5570,0.5003905246050752,13.403595941224241,0.0,0.0,241.02198232866397,47104.0,94.66666666666667,0.0,9.733333333333333,0.9
13099,46,5,2,50,5570,2.469614500134744,1.4085478751330966,0.05403049089540424,0.0,242.3213891624809,47105.0,95.33333333333333,0.0,9.716666666666667,0.9
