,week,weekday,hour,minute,CellID,countrycode,smsin,smsout,callin,callout,internet,idx
0,48,5,23,0,5459,366,9.266877355489807,18.653492625098806,17.11207221459506,12.347399513357871,515.9670883535557,49242.0
1,48,5,23,0,5570,129,5.849594914485405,11.460198554300927,4.02202294576735,4.193599509203792,441.6191421617062,49242.0
2,48,5,23,0,5644,88,6.785769395905571,6.201623573554669,3.7005116213691687,3.6438891293961935,265.7371260512957,49242.0
3,48,5,23,0,6372,122,9.698349085506148,11.345341772028917,3.86389956364387,18.299196115806648,529.3439775609804,49242.0
4,48,5,23,0,6377,141,4.460803769874689,1.7462251588066475,1.5117576506838724,0.9853805771695596,172.7110399664026,49242.0
5,48,5,23,0,6561,85,8.01695964282469,3.6034872942592204,3.517647303086348,3.944894233906709,266.70090461122635,49242.0
6,48,5,23,10,5459,339,9.51264954925555,14.83113360501353,16.294962254495953,9.124373624853787,504.3664130811364,49243.0
7,48,5,23,10,5570,164,7.308122962862719,10.312852812005522,4.245370664824613,1.5966100124316294,428.04982735321397,49243.0
8,48,5,23,10,5644,460,5.16680407994485,9.447814250038062,2.2061757574540617,1.290555226270461,246.83104708798925,49243.0
9,48,5,23,10,6372,191,8.582188122069029,6.164327252047054,2.432259824490293,10.955249160481987,522.9391680667604,49243.0
10,48,5,23,10,6377,639,5.603984212567992,2.9075410666012367,0.9783027323547492,1.2922970847515987,210.82347880906607,49243.0
11,48,5,23,10,6561,85,10.233052100545027,10.021568189897744,1.577787385759829,2.4619621814137598,231.87593963317173,49243.0
12,48,5,23,20,5459,359,15.224086864222047,16.5554877045596,16.745393788284588,17.998132368505562,512.3279011774283,49244.0
13,48,5,23,20,5570,534,8.836598545610478,5.337888038596179,1.650231257712499,3.911235087550859,375.67270462739947,49244.0
14,48,5,23,20,5644,123,9.060362411168976,3.7005681148839704,3.075227436413454,1.3922442761451177,271.009686241658,49244.0
15,48,5,23,20,6372,280,9.258634636967228,8.869072240341547,1.5975028963022249,9.14481583525021,509.431675627996,49244.0
16,48,5,23,20,6377,84,2.6303474777376312,1.4292969637530129,0.41840618850377054,1.522149765698045,166.80377370893657,49244.0
17,48,5,23,20,6561,820,9.919394426400805,5.61285343043454,3.2414147626925294,11.533943494492878,256.7750028486448,49244.0
18,48,5,23,30,5459,276,24.841213227072696,12.360141439364195,21.360867711518747,23.699523790020233,533.1873491391289,49245.0
19,48,5,23,30,5570,105,8.098023405778843,9.780133744473519,2.4190288045289345,1.2892452331728887,436.67945636329,49245.0
20,48,5,23,30,5644,103,9.770224380205097,5.6257041793314215,1.2751639538305095,2.1335248256230885,235.86365872052585,49245.0
21,48,5,23,30,6372,393,3.113112185701618,6.8954687268945865,4.239332729447459,8.666336687632352,484.6852507156808,49245.0
22,48,5,23,30,6377,342,0.5138773249115358,1.7404380369758368,1.2265607120643012,0.12991611168558667,155.75582966876854,49245.0
23,48,5,23,30,6561,171,5.0031462377265425,3.670614718556888,0.0,9.159098612773397,243.6925798429675,49245.0
