,Unnamed: 0,week,weekday,hour,CellID,countrycode,smsin,smsout,callin,callout,internet,idx,tweet,relativeHumidity,precipitation,temperature,windSpeed
3462,15456,48,0,0,5459,4911,11.84211262051677,29.421183409480967,2.2854378575864907,8.484565788100861,1103.5388263261884,8064,0,79,0.0,11.0,0.8
3463,15567,48,0,0,5570,479,43.365922623163385,142.09111550803362,4.471873441364566,9.889003460265773,1766.0630698780067,8064,0,81,0.0,10.7,1.0
3464,15641,48,0,0,5644,642,9.299986452370149,7.490847254522892,3.895763069760247,1.60843491982691,1018.1867999242136,8064,0,88,0.0,9.3,0.0
3465,16369,48,0,0,6372,3927,22.15483216601213,10.38235962846158,13.090340624150098,13.14046528531023,2469.5571425554917,8064,0,90,0.0,9.2,0.0
3466,16374,48,0,0,6377,838,3.565124974785136,10.641408435348065,1.2738706539877434,0.8425994988383518,686.9373737275804,8064,0,0,0.0,8.7,0.0
3467,16558,48,0,0,6561,234,9.986447726174703,4.053528664534463,11.845669500127158,4.84845731295843,953.2993386026044,8064,0,85,0.0,10.0,0.0
3468,25455,48,0,1,5459,769,5.014296197348555,27.15463470320221,0.678287797072971,4.18987101592746,977.8078384647206,8065,0,82,0.0,11.0,0.7
3469,25566,48,0,1,5570,512,8.20706901477815,70.62416648365631,0.05403049089540424,4.134430680683399,1406.2372811535486,8065,0,82,0.0,10.7,0.9
3470,25640,48,0,1,5644,315,11.210221158710933,5.68770570237295,2.0554201025469,0.4316978277982395,793.9573946555004,8065,0,89,0.0,9.4,0.0
3471,26368,48,0,1,6372,4023,12.621863783183489,10.405252678462311,6.232932730441068,11.35312721150839,1780.9620660430326,8065,0,88,0.2,9.2,0.0
3472,26373,48,0,1,6377,464,1.525693605101934,8.754190800714282,0.7668514386794583,0.5023030812499144,621.6924794223651,8065,0,0,0.0,8.6,0.0
3473,26557,48,0,1,6561,234,3.8801456041601736,2.38777244006608,0.0,2.7291793797135697,809.512146271913,8065,0,90,0.0,9.9,0.0
3474,35454,48,0,2,5459,414,6.803499123986884,27.83998846107777,0.7745030099076777,1.4074248453868168,916.3783893578502,8066,0,81,0.0,11.0,0.8
3475,35565,48,0,2,5570,326,6.250101067786247,54.24045079272722,0.16672802562173114,0.0,1275.583671203009,8066,0,85,0.0,10.6,0.8
3476,35639,48,0,2,5644,1476,4.921545687265512,2.96747626768154,0.11000292597452753,1.0770259666568471,785.3236634376867,8066,0,88,0.0,9.3,0.0
3477,36367,48,0,2,6372,2228,17.01153709750143,3.719530893702464,4.029762720792518,8.151748493772269,1703.239814341205,8066,0,90,0.0,8.9,0.0
3478,36372,48,0,2,6377,436,0.5058869248315838,1.6252511117737078,0.7610643168486476,0.0,523.2897043403203,8066,0,0,0.0,8.7,0.0
3479,36556,48,0,2,6561,1994,3.883582456590719,0.0004257695071363663,0.08583999117287168,1.4183715103425258,716.3090828892332,8066,0,90,0.0,9.9,0.0
